ID,Lifestage,Weight_g,Standardised_day,Group,Error,Temperature,Location,Latitude,LabField,Species,Food_availability,Food_notes,ReferenceDOI,ReferenceID,Notes,Consecutive_timescale_all,Consecutive_timescale_field,Consecutive_timescale_lab,Temp_consec_time
1,1SW,1704.7945,0,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13868,13400,,
1,1SW,1744.133,10,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13878,13410,,
1,1SW,1802.6203,20,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13898,13430,,
1,1SW,1870.6967,30,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13928,13460,,
1,1SW,1929.184,40,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13968,13500,,
1,1SW,1987.6859,50,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14018,13550,,
1,1SW,2046.1438,60,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14078,13610,,
1,1SW,2143.046,70,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14148,13680,,
1,1SW,2211.1077,80,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14228,13760,,
1,1SW,2307.995,90,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14318,13850,,
1,1SW,2414.413,100,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14418,13950,,
1,1SW,2559.2015,110,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14528,14060,,
1,1SW,2675.2524,120,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14648,14180,,
1,1SW,2820.041,130,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14778,14310,,
1,1SW,3003.186,140,1,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14918,14450,,
2,1SW,1840.0089,0,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13868,13400,,
2,1SW,1879.3473,10,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13878,13410,,
2,1SW,1956.9833,20,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13898,13430,,
2,1SW,2044.2524,30,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13928,13460,,
2,1SW,2112.3288,40,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13968,13500,,
2,1SW,2209.1868,50,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14018,13550,,
2,1SW,2258.0411,60,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14078,13610,,
2,1SW,2345.3248,70,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14148,13680,,
2,1SW,2432.6231,80,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14228,13760,,
2,1SW,2567.8375,90,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14318,13850,,
2,1SW,2664.6957,100,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14418,13950,,
2,1SW,2809.455,110,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14528,14060,,
2,1SW,2954.273,120,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14648,14180,,
2,1SW,3099.091,130,2,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14778,14310,,
3,1SW,2149.7467,140,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14918,14450,,
3,1SW,2246.6192,150,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15068,14600,,
3,1SW,2333.859,160,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15228,14760,,
3,1SW,2421.1135,170,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15398,14930,,
3,1SW,2508.397,180,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15578,15110,,
3,1SW,2605.226,190,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15768,15300,,
3,1SW,2750.0293,200,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,15968,15500,,
3,1SW,2894.8326,210,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,16178,15710,,
3,1SW,3068.3885,220,3,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,16398,15930,,
4,1SW,1985.7651,0,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13868,13400,,
4,1SW,2034.6634,10,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13878,13410,,
4,1SW,2073.958,20,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13898,13430,,
4,1SW,2151.6526,30,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13928,13460,,
4,1SW,2200.507,40,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,13968,13500,,
4,1SW,2307.0128,50,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14018,13550,,
4,1SW,2423.0342,60,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14078,13610,,
4,1SW,2548.7034,70,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14148,13680,,
4,1SW,2664.6664,80,4,,,Scotland,,Field,Atlantic Salmon,,,10.1093/icesjms/fsp096,1,,14228,13760,,
